image_url,temple_name
https://assets.churchofjesuschrist.org/c5/d2/c5d27d196f7b58ce3267af61a746073ec7e94ac2/hamilton_new_zealand_lds_temple.jpeg,Hamilton New Zealand Lds
https://assets.churchofjesuschrist.org/c7/4d/c74d70b79ce0a1c126412698eafa1f606d9cc3f9/indiana_indianapolis_temple.jpeg,Indiana Indianapolis
https://assets.churchofjesuschrist.org/c8/56/c85632672919c0424997855308294168fc7a226f/seoul_korea_temple_lds.jpeg,Seoul Korea
https://assets.churchofjesuschrist.org/c8/f5/c8f512a0cc754f5b051de23c98b37c001cdc379f/nukualofa_tonga_temple_lds.jpeg,Nukualofa Tonga
https://assets.churchofjesuschrist.org/c9/b1/c9b12f0db77f18b44df6aa9eba971162b879fa6f/los_angeles_temple.jpeg,Los Angeles
https://assets.churchofjesuschrist.org/ca/25/ca25b2b8e9bff82de3a7546cc6c76727120588d7/regina_temple_lds.jpeg,Regina
https://assets.churchofjesuschrist.org/ca/5f/ca5ff30597e9a054092bf8984a8291f8d535fbf4/apia_samoa_temple_lds.jpeg,Apia Samoa
https://assets.churchofjesuschrist.org/cc/c6/ccc6e50e8b9ed125f5ab76abaee9a4de8b4a50a1/anchorage_temple_lds.jpeg,Anchorage
https://assets.churchofjesuschrist.org/cd/77/cd77143a31e1668c770005c2c14a8fbfed284e6b/winter_quarters_temple.jpeg,Winter Quarters
https://assets.churchofjesuschrist.org/ce/a1/cea11ee017a94c829c8a630b43be3e369edf4103/rendering_arequipa_peru_temple.jpeg,Rendering Arequipa Peru
https://assets.churchofjesuschrist.org/cf/8b/cf8bfded996c669b5e0ff1533d6186eb5e68cf7a/mount_timpanogos_utah_temple.jpeg,Mount Timpanogos Utah
https://assets.churchofjesuschrist.org/cf/f6/cff67f8c6f870b041854cb0e144210eab8cd6cf7/twin_falls_temple_lds.jpeg,Twin Falls
https://assets.churchofjesuschrist.org/d0/8e/d08e861b3d488bc4327fd4183e1136e23bd441c7/bogota_colombia_temple_lds.jpeg,Bogota Colombia
https://assets.churchofjesuschrist.org/d0/a6/d0a648e5f85c11ebbc80eeeeac1e6abc0c203325/hermosillo_sonora_mexico_temple.png,Hermosillo Sonora Mexico
https://assets.churchofjesuschrist.org/d3/31/d3314069b0111c411c5e21948f4d2d331a98eb3d/trujillo_peru_temple_exterior.jpeg,Trujillo Peru
https://assets.churchofjesuschrist.org/d3/3a/d33a3407f39612a343f6f1ac26c59e0c00db4296/vancouver_temple.jpeg,Vancouver
https://assets.churchofjesuschrist.org/d3/c5/d3c50ef2bc653474951cc3666aa6518671a3ab45/lima_peru_temple_lds.jpeg,Lima Peru
https://assets.churchofjesuschrist.org/d7/09/d709367e4fd0fdb422b80130d127f341947f6dfa/caracas_venezuela_temple.jpeg,Caracas Venezuela
https://assets.churchofjesuschrist.org/d9/87/d987d547ea75e1556e719efd8cf1a3067cfc40c4/bern_switzerland_temple_lds.jpeg,Bern Switzerland
https://assets.churchofjesuschrist.org/da/79/da7965e5c992e2b4d7e09a59d686b293abcc52af/birmingham_alabama_temple_lds.jpeg,Birmingham Alabama
